# iso.me Combined Export
# Generated: 2026-04-30T23:35:26.427Z

# VISITS (3)
arrived_at,departed_at,duration_minutes,latitude,longitude,location_name,address,notes
2026-04-30T14:06:31.000Z,,,18.327441417052285,-67.22082628555923,Puerto Rico,"Carretera el Coqui, Rincón, PR, 00677",
2026-04-30T12:34:53.000Z,,,18.320335365484127,-67.24054450543272,Puerto Rico,"PR-115, Rincón, PR, 00677",
2026-04-30T12:34:53.000Z,2026-04-30T13:59:12.999Z,84.3,18.32001149291567,-67.2405893374093,Puerto Rico,"PR-115, Rincón, PR, 00677",

# LOCATION POINTS (1591)
timestamp,timestamp_unix,latitude,longitude,altitude,speed,horizontal_accuracy,is_outlier
2026-04-30T12:27:38.531Z,1777552058.531,18.32755780828246,-67.21903965390732,16.65,0.10,38.22474960771078,false
2026-04-30T12:27:50.547Z,1777552070.547,18.32713631228175,-67.2191473918647,166.46,2.67,30.712371997765082,false
2026-04-30T12:27:51.547Z,1777552071.547,18.327158870085178,-67.2191596388835,166.62,2.67,16.43320744744924,false
2026-04-30T12:27:52.547Z,1777552072.547,18.327175978696214,-67.21920904967436,167.80,2.28,10.334213273442181,false
2026-04-30T12:27:54.547Z,1777552074.547,18.32716840228752,-67.21926932721894,168.57,1.84,4.996214243035726,false
2026-04-30T12:27:55.547Z,1777552075.547,18.327140136717663,-67.21931527186875,168.51,4.82,3.939171431909722,false
2026-04-30T12:27:56.547Z,1777552076.547,18.327110618980438,-67.21936761703398,168.05,5.59,3.789016522770998,false
2026-04-30T12:27:57.977Z,1777552077.977,18.327068581006454,-67.2194372571414,168.25,5.59,3.237339392453785,false
2026-04-30T12:27:58.978Z,1777552078.978,18.3270390038431,-67.2194914420357,167.62,5.72,3.09810536526202,false
2026-04-30T12:27:59.980Z,1777552079.980,18.327005136076746,-67.21954042698498,167.02,6.25,3.041932271668047,false
2026-04-30T12:28:00.981Z,1777552080.981,18.326987770030147,-67.2195987487611,166.96,6.25,3.068132186326236,false
2026-04-30T12:28:01.983Z,1777552081.983,18.326959209595856,-67.21965098298722,167.28,6.24,3.0811734363874446,false
2026-04-30T12:28:02.984Z,1777552082.984,18.32693118877875,-67.2197022303176,167.28,6.24,4.748651530192005,false
2026-04-30T12:28:03.985Z,1777552083.985,18.326896994730127,-67.21973995339356,167.70,5.75,4.748651530191944,false
